question_id,category,topic,difficulty,question,expected_answer,keywords
Q001,Python,Data Types,Easy,What are mutable and immutable data types in Python? Give one example of each.,"Mutable data types can be changed after creation, such as lists and dictionaries. Immutable data types cannot be changed after creation, such as tuples and strings.","mutable,immutable,list,tuple,string,dictionary"
Q002,Python,Functions,Easy,What is the difference between a function argument and a parameter?,"A parameter is the variable listed in a function definition, while an argument is the actual value passed to the function when it is called.","parameter,argument,function,definition,call"
Q003,Python,OOP,Medium,Explain the concept of inheritance in Python with an example.,"Inheritance allows a class to acquire the properties and methods of another class. A child class inherits attributes and methods from a parent class, and can override or extend them.","inheritance,class,parent,child,override,polymorphism"
Q004,Python,Exception Handling,Easy,"How does exception handling work in Python? Explain try, except and finally.","The try block contains code that might raise an exception. The except block catches and handles the exception. The finally block runs regardless of whether an exception occurred, often used for cleanup.","try,except,finally,exception,error handling"
Q005,Python,Data Structures,Medium,What is the difference between a list and a tuple in Python?,"Lists are mutable and defined with square brackets, while tuples are immutable and defined with parentheses. Tuples are generally faster and used for fixed collections of items.","list,tuple,mutable,immutable,performance"
Q006,Python,Iterators,Medium,What is the difference between an iterator and a generator in Python?,"An iterator is an object with __iter__ and __next__ methods that returns elements one at a time. A generator is a simpler way to create iterators using functions with the yield keyword, and it produces values lazily.","iterator,generator,yield,lazy evaluation,__next__"
Q007,Python,Decorators,Hard,What are decorators in Python and why are they used?,"Decorators are functions that modify the behavior of another function or method without changing its source code. They are commonly used for logging, access control, memoization, and timing.","decorator,function,wrapper,higher order function"
Q008,Python,Memory Management,Hard,How does Python manage memory automatically?,"Python uses automatic memory management through reference counting and a cyclic garbage collector. Objects are deallocated when their reference count drops to zero, and the garbage collector handles reference cycles.","memory management,garbage collection,reference counting"
Q009,Python,Modules,Easy,What is the difference between a module and a package in Python?,"A module is a single Python file containing functions, classes, or variables. A package is a directory containing multiple modules along with an __init__.py file.","module,package,import,__init__"
Q010,Python,Comprehensions,Medium,What is a list comprehension and why is it useful?,"A list comprehension is a concise way to create lists using a single line of code, combining a loop and a conditional expression. It improves readability and performance compared to traditional loops.","list comprehension,loop,concise,readability"
Q011,Machine Learning,Supervised Learning,Easy,What is supervised learning? Give two examples of algorithms.,Supervised learning is a type of machine learning where the model is trained on labeled data. Examples include linear regression and decision trees.,"supervised learning,labeled data,regression,classification"
Q012,Machine Learning,Unsupervised Learning,Easy,What is unsupervised learning and how does it differ from supervised learning?,"Unsupervised learning works on unlabeled data to find hidden patterns or groupings, unlike supervised learning which requires labeled input-output pairs. Clustering is a common unsupervised technique.","unsupervised learning,clustering,unlabeled data"
Q013,Machine Learning,Overfitting,Medium,What is overfitting and how can it be prevented?,"Overfitting occurs when a model learns the training data too well, including noise, and performs poorly on new data. It can be prevented using techniques like cross-validation, regularization, and pruning.","overfitting,regularization,cross validation,generalization"
Q014,Machine Learning,Evaluation Metrics,Medium,Explain precision and recall in classification problems.,Precision measures the proportion of correctly predicted positive observations out of all predicted positives. Recall measures the proportion of correctly predicted positives out of all actual positives.,"precision,recall,classification,confusion matrix"
Q015,Machine Learning,Feature Engineering,Medium,Why is feature engineering important in machine learning?,Feature engineering involves creating or transforming input variables to improve model performance. Well-engineered features can significantly increase accuracy and reduce training complexity.,"feature engineering,feature selection,transformation"
Q016,Machine Learning,Bias-Variance Tradeoff,Hard,Explain the bias-variance tradeoff in machine learning.,"Bias refers to error from overly simplistic assumptions, causing underfitting. Variance refers to error from sensitivity to small fluctuations in training data, causing overfitting. A good model balances both.","bias,variance,tradeoff,underfitting,overfitting"
Q017,Machine Learning,Algorithms,Medium,How does a decision tree algorithm work?,"A decision tree splits data into branches based on feature values, forming a tree structure, to make predictions. It selects splits based on criteria like information gain or Gini impurity.","decision tree,information gain,gini impurity,splitting"
Q018,Machine Learning,Clustering,Medium,Explain how the K-Means clustering algorithm works.,"K-Means partitions data into K clusters by initializing centroids, assigning points to the nearest centroid, and iteratively updating centroids until convergence.","k-means,clustering,centroid,convergence"
